Oxygen_Uptake,Biological_Oxygen_Demand,Kjeldahl_Nitrogen,Total_Solids,Total_Volatile_Solids,Chemical_Oxygen_Demand,Day
1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
1.0,1.0,0.0,1.0,1.0,1.0,-1.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,-1.0
1.0,1.0,1.0,1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,1.0,1.0,-1.0
1.0,1.0,0.0,1.0,1.0,1.0,-1.0
-1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0
-1.0,0.0,1.0,0.0,0.0,0.0,0.0
-1.0,0.0,1.0,0.0,-1.0,0.0,0.0
-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0
-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0
-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0
-1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,0.0,1.0,-1.0
1.0,1.0,0.0,1.0,-1.0,1.0,-1.0
-1.0,0.0,0.0,0.0,-1.0,0.0,0.0
-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0
1.0,0.0,0.0,0.0,-1.0,0.0,0.0
1.0,1.0,-1.0,1.0,0.0,1.0,-1.0
1.0,1.0,-1.0,1.0,0.0,1.0,-1.0
-1.0,0.0,0.0,0.0,-1.0,0.0,0.0
-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0
-1.0,0.0,-1.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,0.0,0.0,0.0,0.0
-1.0,-1.0,0.0,-1.0,0.0,-1.0,1.0
-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0
-1.0,-1.0,0.0,-1.0,0.0,-1.0,1.0
-1.0,0.0,-1.0,0.0,1.0,0.0,0.0
1.0,0.0,-1.0,0.0,1.0,0.0,0.0
1.0,0.0,-1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,1.0,1.0,-1.0
1.0,1.0,0.0,1.0,1.0,1.0,-1.0
1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
